9:09:36 PMBed probe heights: -0.470, mean -0.470, deviation from mean 0.000
9:09:34 PMBed probe heights: -0.535, mean -0.535, deviation from mean 0.000
9:09:31 PMBed probe heights: -0.488, mean -0.488, deviation from mean 0.000
9:09:29 PMBed probe heights: -0.507, mean -0.507, deviation from mean 0.000
9:09:27 PMBed probe heights: -0.472, mean -0.472, deviation from mean 0.000
9:09:24 PMBed probe heights: -0.468, mean -0.468, deviation from mean 0.000
9:09:22 PMBed probe heights: -0.468, mean -0.468, deviation from mean 0.000
9:09:19 PMBed probe heights: -0.477, mean -0.477, deviation from mean 0.000
9:09:17 PMBed probe heights: -0.415, mean -0.415, deviation from mean 0.000
9:09:15 PMBed probe heights: -0.498, mean -0.498, deviation from mean 0.000
9:09:12 PMBed probe heights: -0.520, mean -0.520, deviation from mean 0.000
9:09:10 PMBed probe heights: -0.560, mean -0.560, deviation from mean 0.000
9:09:08 PMBed probe heights: -0.587, mean -0.587, deviation from mean 0.000
9:09:05 PMBed probe heights: -0.620, mean -0.620, deviation from mean 0.000
9:09:03 PMBed probe heights: -0.635, mean -0.635, deviation from mean 0.000
9:09:01 PMX:0.00 Y:120.00 Z:3.50 E0:0.0 E1:0.0 E2:0.0 E3:0.0 E4:0.0 E5:0.0 Count 0 12000 1400 0 0 0 0 0 0
9:08:55 PMBed probe heights: -0.447, mean -0.447, deviation from mean 0.000
9:08:52 PMBed probe heights: -0.363, mean -0.363, deviation from mean 0.000
9:08:50 PMBed probe heights: -0.353, mean -0.353, deviation from mean 0.000
9:08:48 PMBed probe heights: -0.345, mean -0.345, deviation from mean 0.000
9:08:45 PMBed probe heights: -0.293, mean -0.293, deviation from mean 0.000
9:08:43 PMBed probe heights: -0.365, mean -0.365, deviation from mean 0.000
9:08:41 PMBed probe heights: -0.368, mean -0.368, deviation from mean 0.000
9:08:38 PMBed probe heights: -0.368, mean -0.368, deviation from mean 0.000
9:08:36 PMBed probe heights: -0.710, mean -0.710, deviation from mean 0.000
9:08:34 PMBed probe heights: -0.433, mean -0.433, deviation from mean 0.000
9:08:32 PMBed probe heights: -0.428, mean -0.428, deviation from mean 0.000
9:08:29 PMBed probe heights: -0.447, mean -0.447, deviation from mean 0.000
9:08:27 PMBed probe heights: -0.488, mean -0.488, deviation from mean 0.000
9:08:24 PMBed probe heights: -0.510, mean -0.510, deviation from mean 0.000
9:08:22 PMBed probe heights: -0.565, mean -0.565, deviation from mean 0.000
9:08:20 PMX:0.00 Y:100.00 Z:3.50 E0:0.0 E1:0.0 E2:0.0 E3:0.0 E4:0.0 E5:0.0 Count 0 10000 1400 0 0 0 0 0 0
9:08:14 PMBed probe heights: -0.440, mean -0.440, deviation from mean 0.000
9:08:12 PMBed probe heights: -0.260, mean -0.260, deviation from mean 0.000
9:08:09 PMBed probe heights: -0.308, mean -0.308, deviation from mean 0.000
9:08:07 PMBed probe heights: -0.260, mean -0.260, deviation from mean 0.000
9:08:05 PMBed probe heights: -0.255, mean -0.255, deviation from mean 0.000
9:08:03 PMBed probe heights: -0.377, mean -0.377, deviation from mean 0.000
9:08:00 PMBed probe heights: -0.267, mean -0.267, deviation from mean 0.000
9:07:58 PMBed probe heights: -0.340, mean -0.340, deviation from mean 0.000
9:07:56 PMBed probe heights: -0.278, mean -0.278, deviation from mean 0.000
9:07:53 PMBed probe heights: -0.390, mean -0.390, deviation from mean 0.000
9:07:51 PMBed probe heights: -0.312, mean -0.312, deviation from mean 0.000
9:07:49 PMBed probe heights: -0.412, mean -0.412, deviation from mean 0.000
9:07:46 PMBed probe heights: -0.392, mean -0.392, deviation from mean 0.000
9:07:44 PMBed probe heights: -0.382, mean -0.382, deviation from mean 0.000
9:07:42 PMBed probe heights: -0.435, mean -0.435, deviation from mean 0.000
9:07:40 PMX:0.00 Y:80.00 Z:3.50 E0:0.0 E1:0.0 E2:0.0 E3:0.0 E4:0.0 E5:0.0 Count 0 8000 1400 0 0 0 0 0 0
9:07:34 PMBed probe heights: -0.162, mean -0.162, deviation from mean 0.000
9:07:31 PMBed probe heights: -0.235, mean -0.235, deviation from mean 0.000
9:07:29 PMBed probe heights: -0.157, mean -0.157, deviation from mean 0.000
9:07:27 PMBed probe heights: -0.157, mean -0.157, deviation from mean 0.000
9:07:25 PMBed probe heights: -0.145, mean -0.145, deviation from mean 0.000
9:07:23 PMBed probe heights: -0.447, mean -0.447, deviation from mean 0.000
9:07:20 PMBed probe heights: -0.153, mean -0.153, deviation from mean 0.000
9:07:18 PMBed probe heights: -0.220, mean -0.220, deviation from mean 0.000
9:07:16 PMBed probe heights: -0.192, mean -0.192, deviation from mean 0.000
9:07:13 PMBed probe heights: -0.535, mean -0.535, deviation from mean 0.000
9:07:11 PMBed probe heights: -0.192, mean -0.192, deviation from mean 0.000
